Season,Episode,Title,AirDate,ViewersInMillions
1,1,Pilot,"June 23, 2011(2011-06-23)",4.64
1,2,Errors and Omissions,"June 30, 2011(2011-06-30)",3.89
1,3,Inside Track,"July 7, 2011(2011-07-07)",4.53
1,4,Dirty Little Secrets,"July 14, 2011(2011-07-14)",4.38
1,5,Bail Out,"July 21, 2011(2011-07-21)",4.38
1,6,Tricks of the Trade,"July 28, 2011(2011-07-28)",4.44
1,7,Play the Man,"August 4, 2011(2011-08-04)",4.03
1,8,Identity Crisis,"August 11, 2011(2011-08-11)",3.96
1,9,Undefeated,"August 18, 2011(2011-08-18)",4.45
1,10,Shelf Life,"August 25, 2011(2011-08-25)",3.82
1,11,Rules of the Game,"September 1, 2011(2011-09-01)",3.96
1,12,Dog Fight,"September 8, 2011(2011-09-08)",3.47
2,1,She Knows,"June 14, 2012(2012-06-14)",3.47
2,2,The Choice,"June 21, 2012(2012-06-21)",3.8
2,3,Meet the New Boss,"June 28, 2012(2012-06-28)",3.88
2,4,Discovery,"July 12, 2012(2012-07-12)",3.7
2,5,Break Point,"July 19, 2012(2012-07-19)",3.72
2,6,All In,"July 26, 2012(2012-07-26)",3.89
2,7,Sucker Punch,"August 2, 2012(2012-08-02)",3.41
2,8,Rewind,"August 9, 2012(2012-08-09)",3.42
2,9,Asterisk,"August 16, 2012(2012-08-16)",4.0
2,10,High Noon,"August 23, 2012(2012-08-23)",4.48
2,11,Blind-Sided,"January 17, 2013(2013-01-17)",3.57
2,12,Blood in the Water,"January 24, 2013(2013-01-24)",3.75
2,13,Zane vs. Zane,"January 31, 2013(2013-01-31)",3.36
2,14,He's Back,"February 7, 2013(2013-02-07)",3.07
2,15,Normandy,"February 14, 2013(2013-02-14)",2.9
2,16,War,"February 21, 2013(2013-02-21)",3.2
3,1,The Arrangement,"July 16, 2013(2013-07-16)",2.93
3,2,I Want You to Want Me,"July 23, 2013(2013-07-23)",2.88
3,3,Unfinished Business,"July 30, 2013(2013-07-30)",2.47
3,4,Conflict of Interest,"August 6, 2013(2013-08-06)",2.99
3,5,Shadow of a Doubt,"August 13, 2013(2013-08-13)",2.79
3,6,The Other Time,"August 20, 2013(2013-08-20)",2.76
3,7,She's Mine,"August 27, 2013(2013-08-27)",2.79
3,8,Endgame,"September 3, 2013(2013-09-03)",3.52
3,9,Bad Faith,"September 10, 2013(2013-09-10)",2.95
3,10,Stay,"September 17, 2013(2013-09-17)",3.16
3,11,Buried Secrets,"March 6, 2014(2014-03-06)",2.27
3,12,Yesterday's Gone,"March 13, 2014(2014-03-13)",2.27
3,13,Moot Point,"March 20, 2014(2014-03-20)",2.35
3,14,Heartburn,"March 27, 2014(2014-03-27)",2.53
3,15,Know When to Fold 'Em,"April 3, 2014(2014-04-03)",2.5
3,16,No Way Out,"April 10, 2014(2014-04-10)",2.4
4,1,One-Two-Three Go...,"June 11, 2014(2014-06-11)",2.5
4,2,"Breakfast, Lunch and Dinner","June 18, 2014(2014-06-18)",2.65
